𠆭	⿳亼一α
𩁣	⿰⿱廿⿱⿱⿻中口八土隹
𩁪	〾⿰⿱廿⿻⿳八日八土隹
𠁘	⿱一⿻几〾黑
𡫤	⿳宀⿻⿻⿻⿻口十口一口女
𥤛	⿰禾⿱⿷⿹⿻⿱⿰丿㇇口乚⿱⿹⿻𠃍一一⿹⿻𠃍一一目灬
𦔪	⿰耒⿱⿻⿻⿻⿻口十口一口女
𦥼	⿱⿻⿱⿱⿰丨𠃍⿰一一⿰丨丨⿰⿷⿱丿𠃊一彐乂
𪚧	⿷⿹⿻⿱⿰丿㇇口乚⿱⿹⿻𠃍一一⿹⿻𠃍一一甲
𪚫	⿺⿷⿹⿻⿱⿰丿㇇口乚⿱⿹⿻𠃍一一⿹⿻𠃍一一目丹
𪚺	⿷⿹⿻⿱⿰丿㇇口乚⿱⿹⿻𠃍一一⿹⿻𠃍一一丘
𪚾	⿷⿹⿻⿱⿰丿㇇口乚⿱⿹⿻𠃍一一⿹⿻𠃍一一貝
𪚿	⿷⿹⿻⿱⿰丿㇇口乚⿱⿹⿻𠃍一一⿹⿻𠃍一一車
𪛃	⿷⿹⿻⿱⿰丿㇇口乚⿱⿹⿻𠃍一一⿹⿻𠃍一一區
𮧂	⿱雨⿰氵⿷⿹⿻⿱⿰丿㇇口乚⿱⿹⿻𠃍一一⿹⿻𠃍一一⿱日小
𮮡	⿱⿻⿱⿱⿰丨𠃍⿰一一⿰丨丨⿰⿷⿱丿𠃊一彐又
𡄚	⿱⿻⿳亠凵丨⿰日日冏
𡚇	⿱⿻⿱四四⿱𠃎丨大
𬘆	⿰糹⿻⿳⿶凵二⿵冂冂⿵冂二丨
䆋	⿰禾⿺⿹⿻⿱⿰丿㇇口乚⿱⿹⿻𠃍一一⿹⿻𠃍一一彐
𡅟	⿱⿻⿳亠⿶凵凵丨⿰日日冏
𤜓	⿰牛⿱巛⿺⿹⿻⿱⿰丿㇇口乚⿱⿹⿻𠃍一一⿹⿻𠃍一一彐
𦪺	⿰舟⿻肅⿱八一
𪛄	⿱㽞⿺⿹⿻⿱⿰丿㇇口乚⿱⿹⿻𠃍一一⿹⿻𠃍一一日
𬟏	⿱艹⿺⿹⿻口乚⿱⿹⿻𠃍一一⿹⿻𠃍𠃍一乂
𬋢	⿱⿰禾⿺⿹⿻⿱⿰丿㇇口乚⿱⿹⿻𠃍一一⿹⿻𠃍一一⿴口⿻乂乂火
